origin	status	framework	principal_theorem	statements	closed	axiom_dep	sha256	new_path
f048.v	broken	operator_algebra	gress_is_core_candidate	0	0	0	9d304add30952e9053075bdc0fc27cb2ff3ca41946f90d9c09a1fb6228ebb2d3	04_uncompiled/operator_algebra/operator_algebra__gress_is_core_candidate__9d304add.v
f063.v	broken	operator_algebra	universal_falsifiability	0	0	0	eda272378ddd156eea1bca6526d834abdf3c6aa346f37f36c94db6b0ddf5aa94	04_uncompiled/operator_algebra/operator_algebra__universal_falsifiability__eda27237.v
f084.v	broken	recovery	boundary_theorem_identity_skeleton	0	0	0	1f6684afc6b12036021e586a447c28b7540d1bcb1cefbdd86e4ba2efaed01b91	04_uncompiled/recovery/recovery__boundary_theorem_identity_skeleton__1f6684af.v
f050.v	broken	recovery	budget_composition	0	0	0	a790fbdf408fbc4dd71fb6080c279f0fea044c65f08c03cc5a25419f9b8b3aa7	04_uncompiled/recovery/recovery__budget_composition__a790fbdf.v
f028.v	broken	recovery	budget_composition_general	0	0	0	32f7bd9c4fe2c7ddf7b414e2a3d6d007a3d70ee4463f5a8a1807f1f50b7864d6	04_uncompiled/recovery/recovery__budget_composition_general__32f7bd9c.v
f043.v	broken	recovery	cartography_predicts_cascades	0	0	0	7e4839c333b6758912d85ae16780f1415ac98082fcd654493e78930533368d20	04_uncompiled/recovery/recovery__cartography_predicts_cascades__7e4839c3.v
f031.v	broken	recovery	chain_coh_bound	0	0	0	3aa754dce56dbe4021cc106a48156fbbc6c823762a17bd6a059f170c41cad196	04_uncompiled/recovery/recovery__chain_coh_bound__3aa754dc.v
f082.v	broken	recovery	concrete_apply_step	0	0	0	44d822edaf61fe2d05c9fc1e8f19121c107828ff7812dd7f3733b56a7e9db642	04_uncompiled/recovery/recovery__concrete_apply_step__44d822ed.v
f081.v	broken	recovery	decide_returns_a_terminal_state	0	0	0	f87e3f2f85f31ff89e7439727a0402c5e739a9311ff2c29162bd978c622a365a	04_uncompiled/recovery/recovery__decide_returns_a_terminal_state__f87e3f2f.v
f098.v	broken	recovery	full_verify_total	0	0	0	ddf5ebca0653f4845b46adf4f594ca044e931a7b5f1a96b5dee6781d6510ad3f	04_uncompiled/recovery/recovery__full_verify_total__ddf5ebca.v
f032.v	broken	recovery	irreversibility_reduces_options	0	0	0	438dbf7a8bb38026e4128bd6f5f7743c72211d6210b47863454c16cd1608a0a7	04_uncompiled/recovery/recovery__irreversibility_reduces_options__438dbf7a.v
f064.v	broken	recovery	pipeline_coh_bound	0	0	0	ee7aa1985f4e46ceaffe44f3120c9aa285839e4548b93e1d4358a7ec8dfa59e4	04_uncompiled/recovery/recovery__pipeline_coh_bound__ee7aa198.v
f105.v	broken	recovery	safety_invariant_preserved	0	0	0	cf0465325a12404221b1189b3ace3a2a5e1800db551cfaaced1dd3ed53a41d1a	04_uncompiled/recovery/recovery__safety_invariant_preserved__cf046532.v
f040.v	broken	recovery	sealed_drift_invisible_internally	0	0	0	650ccba05346f0257f32af570801b83ccec1be4a8264700a75f2bc339b511eff	04_uncompiled/recovery/recovery__sealed_drift_invisible_internally__650ccba0.v
f054.v	broken	recovery	temporal_incoherence_irreversibility	0	0	0	b21d7c9c41b28863e88fba276113c972c74a485d61c0f462c84f4179c4f3be31	04_uncompiled/recovery/recovery__temporal_incoherence_irreversibility__b21d7c9c.v
f044.v	broken	recovery	topological_obstruction	0	0	0	897c0227fc16b67e599e60dbdaa227464ea7033567363d4eb88461b60840f1ee	04_uncompiled/recovery/recovery__topological_obstruction__897c0227.v
f108.v	broken	recovery	witness_sufficiency	0	0	0	a416f15de76f4e7beb39a9daefd6bbcb9b06b99579325296d0027f4bceeaaae5	04_uncompiled/recovery/recovery__witness_sufficiency__a416f15d.v
f069.v	broken	unsorted	danger_zone	0	0	0	ffceb66ed745545d5303a4e56fa7a923d10fd4414fa0e10b8bbe1f762f42bdf7	04_uncompiled/unsorted/unsorted__danger_zone__ffceb66e.v
